CLIENTNUM,GRUPO_AB,FL_ATIVADO,VALOR_GASTO
99,Teste,1,4526.72307692442
100,Teste,1,3190.549904649883
101,Teste,1,4648.434057604026
102,Teste,0,0.0
103,Teste,1,898.2162592336377
104,Controle,1,1381.9228808861535
105,Teste,0,0.0
106,Teste,1,703.5228000974213
107,Teste,1,1963.9864884346896
108,Controle,1,2249.047803602669
109,Teste,1,1721.0706429825316
110,Teste,1,4229.318791183682
111,Teste,1,2105.3899701211517
112,Teste,1,1764.2052935932134
113,Teste,0,0.0
114,Controle,1,2942.132374212118
115,Teste,0,0.0
116,Teste,0,0.0
117,Teste,0,0.0
118,Teste,1,1134.1590123864319
119,Teste,0,0.0
120,Teste,1,4109.886413393178
121,Teste,0,0.0
122,Teste,0,0.0
123,Teste,1,835.4778965589687
124,Teste,1,4940.991214702328
125,Teste,1,3975.101461834958
126,Teste,1,1394.2205669037758
127,Teste,0,0.0
128,Controle,1,524.8495270562108
129,Teste,1,4169.576428046754
130,Teste,1,3680.858047314277
131,Teste,1,3780.5322561844428
132,Teste,1,3970.7165600867556
133,Teste,1,833.2009328034067
134,Teste,1,2113.0957784492266
135,Teste,0,0.0
136,Controle,0,0.0
137,Teste,1,1021.4107678630837
138,Teste,0,0.0
139,Controle,0,0.0
140,Teste,0,0.0
141,Teste,0,0.0
142,Teste,1,4383.965416440171
143,Controle,0,0.0
144,Teste,1,3304.8415707240106
145,Teste,1,1989.0411118369213
146,Teste,1,786.0125762871064
147,Teste,0,0.0
148,Teste,1,1899.4204477204798
149,Teste,1,1963.3249491203617
150,Teste,1,3783.227802521288
151,Controle,1,3369.008621098459
152,Teste,1,4492.457341593469
153,Teste,1,2624.967163228772
154,Teste,1,1038.1741067223577
155,Teste,0,0.0
156,Teste,1,3709.6015425034775
157,Teste,0,0.0
158,Teste,0,0.0
159,Teste,1,3923.5327187760386
160,Controle,1,3025.747389062733
161,Teste,1,3969.3523097955244
162,Controle,1,2722.080183639758
163,Teste,0,0.0
164,Teste,1,2852.297732218973
165,Teste,1,2423.934582613473
166,Teste,0,0.0
167,Teste,1,614.3860703484283
168,Teste,1,985.51142146987
169,Teste,1,641.4313355903041
170,Teste,0,0.0
171,Teste,0,0.0
172,Teste,1,3363.8468506870117
173,Teste,1,1914.60191484347
174,Teste,1,2788.5681102411627
175,Teste,0,0.0
176,Teste,1,4584.049132667418
177,Controle,1,1621.8150311699374
178,Teste,1,2346.723153660334
179,Teste,0,0.0
180,Teste,1,3899.980123443719
181,Teste,1,1529.591744712301
182,Teste,1,846.4095942295685
183,Teste,0,0.0
184,Controle,1,1803.8815381119562
185,Teste,1,1225.4957926430197
186,Teste,0,0.0
187,Teste,0,0.0
188,Controle,1,4683.639435541579
189,Controle,1,4136.5417080398765
190,Teste,1,3350.3169042969057
191,Teste,1,4421.5726558447295
192,Teste,0,0.0
193,Teste,0,0.0
194,Teste,0,0.0
195,Teste,1,4116.524346046015
196,Teste,1,1339.5652649871613
197,Teste,0,0.0
198,Teste,0,0.0
199,Teste,0,0.0
200,Teste,0,0.0
201,Teste,0,0.0
202,Teste,1,4516.5154932049
203,Teste,1,2927.0400886204284
204,Teste,0,0.0
205,Teste,0,0.0
206,Teste,1,4133.480698238282
207,Teste,1,4532.41084965572
208,Teste,0,0.0
209,Teste,1,1931.0156373733873
210,Teste,1,995.2336603745455
211,Teste,1,1525.7082314387376
212,Teste,0,0.0
213,Teste,0,0.0
214,Teste,1,2421.9850488181537
215,Teste,0,0.0
216,Teste,1,4181.066446651219
217,Teste,1,4373.287624653545
218,Teste,0,0.0
219,Teste,0,0.0
220,Teste,0,0.0
221,Teste,0,0.0
222,Teste,0,0.0
223,Teste,1,531.2845873903582
224,Teste,1,2798.3628615990456
225,Teste,1,2378.3495141695057
226,Teste,1,1499.485147118286
227,Teste,0,0.0
228,Teste,1,1039.3941530015727
229,Teste,0,0.0
230,Teste,0,0.0
231,Teste,0,0.0
232,Teste,1,2019.2682713163258
233,Teste,0,0.0
234,Controle,0,0.0
235,Teste,1,4743.093667606337
236,Teste,0,0.0
237,Teste,1,1954.4131940933985
238,Teste,1,2834.5577978451474
239,Teste,0,0.0
240,Teste,1,3663.5853150283
241,Teste,0,0.0
242,Teste,0,0.0
243,Teste,0,0.0
244,Teste,1,2136.3332107068227
245,Teste,1,4873.019372244323
246,Teste,0,0.0
247,Controle,0,0.0
248,Teste,0,0.0
249,Teste,0,0.0
250,Teste,0,0.0
251,Teste,1,4831.0128272395
252,Teste,1,1633.0203312141387
253,Teste,0,0.0
254,Teste,1,2737.6182765157346
255,Teste,1,1853.9523941754635
256,Teste,0,0.0
257,Teste,0,0.0
258,Teste,0,0.0
259,Teste,0,0.0
260,Teste,1,1781.7822246986043
261,Teste,0,0.0
262,Teste,0,0.0
263,Teste,1,665.9912630953976
264,Teste,1,3243.0395029095357
265,Teste,0,0.0
266,Controle,1,2762.0556045298767
267,Teste,0,0.0
268,Teste,0,0.0
269,Teste,1,731.6543806249521
270,Teste,1,1753.9090890647515
271,Teste,0,0.0
272,Teste,0,0.0
273,Teste,0,0.0
274,Controle,1,4587.196486849942
275,Controle,1,1578.028508001376
276,Controle,1,1152.0269244105039
277,Teste,0,0.0
278,Teste,0,0.0
279,Teste,0,0.0
280,Controle,1,2702.5374212490337
281,Teste,0,0.0
282,Teste,1,4935.427043497703
283,Teste,1,1589.2487218017518
284,Teste,1,3524.6099633264535
285,Teste,0,0.0
286,Teste,1,3927.288268979229
287,Teste,1,1569.3689479657985
288,Teste,1,3776.973568753368
289,Teste,1,2155.0240972366396
290,Teste,0,0.0
291,Controle,0,0.0
292,Controle,0,0.0
293,Teste,0,0.0
294,Teste,1,3345.3762376711074
295,Teste,1,3350.883698424026
296,Teste,1,2910.9860783364134
297,Teste,0,0.0
298,Teste,1,906.3039652448374
299,Teste,0,0.0
300,Teste,1,4258.861230151571
301,Teste,1,1943.5102923728114
302,Teste,1,1339.333296799344
303,Teste,1,683.4881369964376
304,Teste,0,0.0
305,Teste,0,0.0
306,Teste,0,0.0
307,Teste,1,3159.018244347088
308,Teste,1,3549.0396282902707
309,Teste,0,0.0
310,Teste,1,574.6452301753527
311,Controle,0,0.0
312,Controle,0,0.0
313,Teste,1,2804.418762346764
314,Teste,0,0.0
315,Teste,0,0.0
316,Teste,0,0.0
317,Teste,1,1519.2309883907208
318,Teste,1,3403.2775568425245
319,Teste,1,1284.6489305224613
320,Teste,1,3609.2198214610967
321,Teste,1,2240.309058352418
322,Teste,0,0.0
323,Teste,0,0.0
324,Controle,0,0.0
325,Teste,0,0.0
326,Teste,0,0.0
327,Teste,0,0.0
328,Teste,0,0.0
329,Teste,1,4715.284949315305
330,Teste,1,1118.8442486569697
331,Teste,1,2034.7985797261633
332,Teste,0,0.0
333,Teste,1,1010.6308455826509
334,Teste,1,4661.121282253533
335,Teste,1,4448.027090214415
336,Teste,1,1660.7373247182002
337,Teste,0,0.0
338,Teste,0,0.0
339,Teste,1,3469.9282071538055
340,Teste,1,4177.499900905472
341,Teste,1,2998.4036521975804
342,Teste,1,2883.4276026020293
343,Teste,1,1588.3353090520325
344,Teste,1,918.9624551265465
345,Teste,1,4537.470910789971
346,Controle,1,4551.881257234987
347,Teste,0,0.0
348,Teste,1,3348.9565577297058
349,Controle,0,0.0
350,Teste,0,0.0
351,Teste,1,2025.6340597191531
352,Teste,0,0.0
353,Teste,0,0.0
354,Teste,1,2071.443085756974
355,Teste,1,3766.800554916077
356,Teste,0,0.0
357,Teste,1,4536.9961697865965
358,Teste,0,0.0
359,Teste,0,0.0
360,Teste,0,0.0
361,Teste,1,4491.888909193028
362,Teste,0,0.0
363,Teste,1,4009.4399563593074
364,Teste,1,3389.142407694295
365,Teste,0,0.0
366,Teste,1,878.6298424777198
367,Teste,0,0.0
368,Teste,0,0.0
369,Teste,1,1227.329213425762
370,Teste,1,4543.493848371856
371,Teste,1,3228.930768468155
372,Teste,1,541.3867322748334
373,Teste,1,956.6219428971444
374,Teste,0,0.0
375,Teste,1,3485.757960986251
376,Teste,1,522.7771273079841
377,Teste,0,0.0
378,Teste,1,1223.636231378744
379,Teste,0,0.0
380,Teste,1,2969.3020521496373
381,Teste,1,3613.5283896171195
382,Teste,0,0.0
383,Teste,0,0.0
384,Teste,0,0.0
385,Teste,0,0.0
386,Teste,0,0.0
387,Teste,1,3433.8256677617023
388,Teste,1,1509.211892572519
389,Teste,0,0.0
390,Teste,0,0.0
391,Teste,0,0.0
392,Teste,1,3704.8064960639113
393,Teste,1,1567.6208937356002
394,Controle,1,1964.2986417167047
395,Teste,1,3859.211323031109
396,Teste,0,0.0
397,Teste,0,0.0
398,Teste,1,3423.348045712466
399,Teste,0,0.0
400,Teste,0,0.0
401,Teste,1,4321.5053472238005
402,Teste,0,0.0
403,Controle,1,3459.258015351545
404,Teste,0,0.0
405,Teste,1,3057.3887150096225
406,Teste,0,0.0
407,Teste,1,921.5364552264161
408,Controle,0,0.0
409,Teste,0,0.0
410,Controle,0,0.0
411,Teste,1,2154.721113767451
412,Teste,0,0.0
413,Teste,0,0.0
414,Controle,1,1693.4106545677646
415,Teste,0,0.0
416,Teste,1,1597.9533952058762
417,Teste,1,4878.547496386005
418,Teste,1,2268.9397610004216
419,Teste,0,0.0
420,Teste,0,0.0
421,Teste,0,0.0
422,Teste,0,0.0
423,Teste,1,4514.20949829701
424,Teste,1,3340.123816987683
425,Teste,1,4076.650865937418
426,Teste,1,2761.8669189733646
427,Teste,1,3096.067480818616
428,Teste,0,0.0
429,Teste,1,2716.3296221848877
430,Teste,1,1378.5934450912002
431,Teste,1,3751.034518676774
432,Teste,0,0.0
433,Teste,0,0.0
434,Controle,0,0.0
435,Teste,1,1763.475630983851
436,Teste,0,0.0
437,Teste,1,609.4218489415423
438,Teste,0,0.0
439,Teste,0,0.0
440,Teste,1,3404.625331582255
441,Teste,1,1296.9980573317202
442,Teste,0,0.0
443,Teste,1,4732.063629588114
444,Teste,1,4792.678596511643
445,Teste,0,0.0
446,Teste,0,0.0
447,Teste,0,0.0
448,Teste,0,0.0
449,Teste,1,4616.889755992019
450,Teste,1,2165.7141511494997
451,Teste,0,0.0
452,Teste,0,0.0
453,Teste,1,569.5547743799034
454,Teste,0,0.0
455,Teste,1,4677.433531644764
456,Teste,1,2426.8286674279143
457,Teste,1,4849.946685696513
458,Teste,1,4836.289896901638
459,Teste,1,4338.54254960312
460,Teste,1,1825.0200143131356
461,Teste,1,2232.9397787086637
462,Teste,0,0.0
463,Teste,0,0.0
464,Teste,0,0.0
465,Controle,1,4330.115021825856
466,Controle,0,0.0
467,Controle,0,0.0
468,Controle,1,1926.1490232032495
469,Teste,1,1262.7173600874162
470,Teste,0,0.0
471,Teste,1,3005.6056810625755
472,Teste,0,0.0
473,Teste,1,4712.696483723515
474,Controle,1,3632.1340850373786
475,Controle,1,3065.2752654021424
476,Teste,0,0.0
477,Teste,1,937.2942219684585
478,Teste,0,0.0
479,Teste,0,0.0
480,Controle,1,3267.532520146264
481,Teste,0,0.0
482,Teste,0,0.0
483,Teste,1,4955.242325469185
484,Teste,0,0.0
485,Teste,0,0.0
486,Teste,0,0.0
487,Teste,1,1130.3780685643583
488,Teste,1,2832.483435636815
489,Teste,0,0.0
490,Controle,1,4448.178823675799
491,Teste,1,3833.45877989392
492,Controle,1,3636.570834478706
493,Controle,0,0.0
494,Teste,1,3661.1783779419916
495,Teste,1,2117.710180488898
496,Teste,1,1821.1632991902202
497,Teste,0,0.0
498,Teste,1,4142.125199653312
499,Teste,0,0.0
500,Teste,0,0.0
501,Teste,0,0.0
502,Teste,1,4145.510276056313
503,Teste,1,4401.8254336104665
504,Teste,0,0.0
505,Teste,0,0.0
506,Teste,1,4609.58248650412
507,Teste,0,0.0
508,Teste,0,0.0
509,Teste,0,0.0
510,Teste,0,0.0
511,Teste,0,0.0
512,Teste,1,2801.04079487422
513,Teste,0,0.0
514,Teste,0,0.0
515,Teste,1,2756.823326092398
516,Teste,1,4092.3283053504883
517,Teste,1,3424.8376884999434
518,Teste,0,0.0
519,Teste,0,0.0
520,Teste,1,3658.850947659665
521,Teste,0,0.0
522,Controle,0,0.0
523,Teste,0,0.0
524,Teste,0,0.0
525,Controle,1,4081.067012462455
526,Teste,1,4505.024038179048
527,Controle,0,0.0
528,Teste,1,2020.978205831911
529,Teste,1,2190.123286879748
530,Controle,1,922.9187292839106
531,Controle,1,3102.2606344827827
532,Controle,1,661.7402320853394
533,Teste,0,0.0
534,Controle,1,2595.1910815960705
535,Teste,0,0.0
536,Teste,0,0.0
537,Teste,0,0.0
538,Teste,1,2941.9008561840947
539,Teste,1,1789.4356345772799
540,Teste,1,3158.7496725605483
541,Teste,0,0.0
542,Teste,0,0.0
543,Teste,1,637.2511247257224
544,Teste,0,0.0
545,Teste,0,0.0
546,Teste,1,668.0668493714649
547,Teste,1,4201.702522968462
548,Teste,0,0.0
549,Teste,1,2120.8578863506827
550,Teste,0,0.0
551,Teste,1,1071.7723069334816
552,Teste,0,0.0
553,Teste,0,0.0
554,Teste,0,0.0
555,Teste,0,0.0
556,Teste,1,2850.0946702466194
557,Teste,1,3964.9709889437486
558,Teste,1,1471.1946237357943
559,Teste,0,0.0
560,Teste,0,0.0
561,Teste,0,0.0
562,Teste,1,3303.007141185501
563,Controle,0,0.0
564,Teste,1,884.063592471956
565,Teste,1,732.5677452587347
566,Controle,1,2891.095842056666
567,Teste,1,2932.858047245479
568,Teste,1,3368.4345567419296
569,Teste,0,0.0
570,Teste,1,3767.411001751977
571,Teste,1,4891.334357581406
572,Teste,0,0.0
573,Teste,1,2823.351567355379
574,Teste,0,0.0
575,Teste,0,0.0
576,Teste,0,0.0
577,Teste,1,1953.3041282356069
578,Teste,0,0.0
579,Teste,1,4078.3378764591666
580,Teste,1,1718.745130679334
581,Teste,1,2475.3713931753628
582,Teste,0,0.0
583,Teste,1,853.0537160401968
584,Teste,1,614.0783453695587
585,Teste,0,0.0
586,Teste,1,4831.917866050663
587,Teste,1,4261.910542304926
588,Teste,1,3631.8839274216407
589,Controle,0,0.0
590,Controle,0,0.0
591,Teste,1,2340.288249864215
592,Teste,0,0.0
593,Teste,1,1279.824440318806
594,Teste,1,1203.9666920198872
595,Teste,0,0.0
596,Teste,1,1626.093041740679
597,Teste,0,0.0
598,Teste,1,2971.519991177542
599,Teste,1,3715.6816521502806
600,Teste,1,3470.8881952297907
601,Teste,1,1759.7025362567429
602,Teste,1,4796.893762984373
603,Teste,1,3820.536125130958
604,Controle,0,0.0
605,Teste,1,2994.593236301303
606,Teste,1,3252.7433580545853
607,Controle,0,0.0
608,Teste,1,2388.2002809250544
609,Teste,1,1614.7894527552087
610,Teste,0,0.0
611,Teste,1,2101.877053930677
612,Controle,1,3910.307497089661
613,Teste,0,0.0
614,Teste,1,564.7706988339014
615,Teste,0,0.0
616,Controle,1,1022.3268822811231
617,Teste,1,707.0118890978874
618,Teste,1,683.2796104353656
619,Teste,0,0.0
620,Teste,0,0.0
621,Teste,1,4349.572628049533
622,Teste,1,3666.4603672101066
623,Teste,1,2633.7822308929635
624,Teste,1,940.2537229295067
625,Teste,0,0.0
626,Teste,1,2712.2714380257457
627,Teste,1,2630.6229685125454
628,Teste,0,0.0
629,Teste,1,1279.4084145950683
630,Controle,0,0.0
631,Teste,0,0.0
632,Teste,0,0.0
633,Teste,1,2452.332421570879
634,Teste,1,2293.2713047881807
635,Teste,1,3271.3254412349743
636,Teste,1,3357.921428904397
637,Teste,1,703.8680439742003
638,Teste,1,2185.7567658191206
639,Teste,1,3316.369620714064
640,Teste,1,2764.1131636103946
641,Teste,1,4354.20428534745
642,Teste,1,3464.1213422852525
643,Teste,1,1233.2049218664336
644,Controle,0,0.0
645,Teste,1,817.5593633019344
646,Teste,0,0.0
647,Teste,0,0.0
648,Controle,1,3390.8867519284204
649,Controle,1,619.3008974372982
650,Teste,1,3135.990115730585
651,Teste,1,4731.0360864123095
652,Teste,1,3089.633800441455
653,Teste,0,0.0
654,Teste,0,0.0
655,Teste,1,2246.7646679293484
656,Teste,1,3394.796982990589
657,Teste,1,2562.138007211825
658,Teste,1,2955.275551921707
659,Teste,0,0.0
660,Teste,0,0.0
661,Teste,1,4736.591639494363
662,Teste,0,0.0
663,Teste,0,0.0
664,Teste,1,2237.461870103484
665,Teste,1,4825.357537207614
666,Teste,1,4574.077888802287
667,Teste,1,1381.060106551834
668,Teste,1,812.1258539382445
669,Teste,1,953.5010061984199
670,Teste,1,581.9982154319738
671,Teste,1,924.9933234016778
672,Teste,0,0.0
673,Teste,1,3573.5304803736058
674,Teste,1,820.3489180710304
675,Teste,1,1935.3903363219258
676,Teste,0,0.0
677,Teste,1,4301.938899362545
678,Teste,1,604.7237108112164
679,Teste,0,0.0
680,Teste,0,0.0
681,Teste,0,0.0
682,Teste,1,4165.10817165021
683,Teste,1,1768.3464864802997
684,Controle,1,1031.7417242974532
685,Teste,0,0.0
686,Teste,0,0.0
687,Teste,0,0.0
688,Teste,1,3635.317244138678
689,Teste,0,0.0
690,Teste,1,3330.2428105094777
691,Teste,1,4448.624060871738
692,Teste,1,3807.819697117486
693,Controle,1,4115.6641867318185
694,Teste,1,1769.1555765708792
695,Teste,1,1298.4779470087528
696,Teste,0,0.0
697,Teste,1,3877.7663823838625
698,Teste,0,0.0
699,Teste,1,4130.756326702688
700,Teste,1,4957.273139003029
701,Teste,1,2356.7795461014193
702,Teste,1,2174.0813860675244
703,Teste,1,3993.858323338986
704,Teste,1,2033.6159311385802
705,Teste,1,4688.407965216042
706,Controle,1,4362.857383293553
707,Teste,1,2430.4731231875826
708,Teste,0,0.0
709,Teste,1,3878.9198050617383
710,Teste,0,0.0
711,Controle,1,3895.4429333810704
712,Controle,1,964.0574097616968
713,Controle,0,0.0
714,Teste,1,4561.48808005805
715,Teste,1,2773.635676015357
716,Teste,0,0.0
717,Teste,0,0.0
718,Controle,1,4219.058597484837
719,Teste,1,1940.2232046377528
720,Teste,0,0.0
721,Teste,0,0.0
722,Teste,1,4529.854528232902
723,Teste,1,2251.4075543037343
724,Teste,0,0.0
725,Controle,1,548.7694316613427
726,Teste,0,0.0
727,Teste,1,4574.218893886687
728,Teste,0,0.0
729,Teste,1,910.790045537601
730,Teste,1,1936.9113691568668
731,Teste,1,4775.278851728622
732,Controle,1,4777.732161219003
733,Teste,0,0.0
734,Teste,1,3080.4704965547876
735,Teste,1,3343.267454764097
736,Teste,0,0.0
737,Teste,1,2518.004848902439
738,Teste,0,0.0
739,Teste,1,1819.4484726412904
740,Controle,0,0.0
741,Teste,1,1978.9904541646217
742,Teste,1,3526.333052346673
743,Teste,0,0.0
744,Teste,1,3885.68538246956
745,Controle,0,0.0
746,Teste,0,0.0
747,Teste,1,4062.1056967663185
748,Teste,1,4053.2816425754927
749,Teste,0,0.0
750,Teste,0,0.0
751,Teste,1,910.4274637191066
752,Teste,0,0.0
753,Teste,0,0.0
754,Teste,1,2724.8913711616165
755,Teste,1,759.0144200748992
756,Teste,0,0.0
757,Teste,0,0.0
758,Teste,1,2972.87997045681
759,Teste,0,0.0
760,Teste,0,0.0
761,Controle,0,0.0
762,Teste,1,2486.8872561801963
763,Teste,1,4494.668822412349
764,Teste,0,0.0
765,Teste,1,2079.1175564843543
766,Controle,1,1026.8015739242264
767,Teste,0,0.0
768,Controle,1,1143.4625692377613
769,Controle,0,0.0
770,Teste,0,0.0
771,Teste,1,3926.7978427286253
772,Teste,0,0.0
773,Teste,1,3281.981284923175
774,Teste,1,955.052042552556
775,Teste,0,0.0
776,Teste,1,878.4806275174885
777,Teste,1,3654.36109156604
778,Teste,0,0.0
779,Teste,0,0.0
780,Teste,0,0.0
781,Teste,0,0.0
782,Teste,1,827.4335286388709
783,Teste,1,4198.3702668066035
784,Teste,1,3678.090022204233
785,Teste,1,866.069512888549
786,Teste,0,0.0
787,Teste,0,0.0
788,Teste,1,881.7697133833636
789,Teste,1,4939.87810325529
790,Teste,0,0.0
791,Teste,1,2184.2185809025414
792,Teste,0,0.0
793,Teste,1,2167.8896618010094
794,Teste,0,0.0
795,Teste,1,4157.598052658761
796,Teste,0,0.0
797,Teste,0,0.0
798,Teste,0,0.0
799,Teste,0,0.0
800,Teste,0,0.0
801,Teste,0,0.0
802,Teste,1,4762.618598227365
803,Teste,0,0.0
804,Teste,0,0.0
805,Teste,1,4937.004787202919
806,Teste,0,0.0
807,Teste,0,0.0
808,Teste,0,0.0
809,Teste,1,3890.2018336652372
810,Teste,1,2193.1681348891207
811,Teste,0,0.0
812,Teste,0,0.0
813,Teste,1,875.7532251440094
814,Teste,0,0.0
815,Teste,0,0.0
816,Teste,1,3997.1611216734655
817,Teste,0,0.0
818,Teste,1,3012.8191238111226
819,Teste,1,2408.9990416113933
820,Teste,1,4578.594732926312
821,Teste,0,0.0
822,Teste,1,1000.388670377681
823,Teste,1,2716.8129693088663
824,Teste,1,551.0914014533859
825,Teste,1,2608.9728889735684
826,Teste,0,0.0
827,Teste,1,753.3647405682681
828,Teste,1,1034.6806232063236
829,Teste,0,0.0
830,Controle,0,0.0
831,Teste,1,1028.868110496972
832,Teste,1,3421.446359522286
833,Teste,1,3857.201956694405
834,Teste,1,3125.1594429372185
835,Teste,1,4829.776468135438
836,Teste,1,2186.9176078566684
837,Teste,0,0.0
838,Teste,1,1785.7043882683734
839,Teste,0,0.0
840,Teste,0,0.0
841,Teste,1,4408.696076852571
842,Teste,0,0.0
843,Teste,1,1506.1812733375368
844,Teste,0,0.0
845,Teste,1,4834.501427482751
846,Teste,1,554.6951361041736
847,Teste,1,4864.454720184375
848,Teste,0,0.0
849,Controle,1,694.2196037775925
850,Teste,0,0.0
851,Teste,1,4510.14401164132
852,Teste,0,0.0
853,Teste,1,2874.6549908883494
854,Teste,0,0.0
855,Teste,1,4968.341582536851
856,Teste,1,832.0845413092949
857,Teste,1,2992.3442798059436
858,Teste,1,4861.861410285946
859,Teste,0,0.0
860,Teste,1,2853.9402987656695
861,Teste,0,0.0
862,Teste,1,3332.2938716086815
863,Teste,1,3630.869100430777
864,Teste,1,2545.43479145498
865,Controle,0,0.0
866,Teste,0,0.0
867,Teste,1,3324.0113603782856
868,Teste,1,3129.414403653951
869,Teste,0,0.0
870,Teste,0,0.0
871,Teste,1,4555.21104720945
872,Controle,0,0.0
873,Teste,0,0.0
874,Teste,1,704.5087115365604
875,Teste,1,1764.3343531650364
876,Teste,1,4776.851678344514
877,Controle,1,4506.187027509123
878,Teste,0,0.0
879,Teste,1,2550.4553875357083
880,Teste,1,3290.5966901069155
881,Teste,1,1748.2153234150971
882,Teste,0,0.0
883,Teste,1,1346.5452187569258
884,Teste,1,2586.6428222299196
885,Teste,0,0.0
886,Teste,1,2090.0850261172377
887,Teste,0,0.0
888,Teste,1,3126.452503328924
889,Teste,1,849.8058663424317
890,Teste,1,4884.776634497749
891,Teste,0,0.0
892,Teste,0,0.0
893,Teste,0,0.0
894,Teste,1,4937.948350158213
895,Teste,0,0.0
896,Teste,1,3641.7277130888533
897,Controle,0,0.0
898,Teste,0,0.0
899,Controle,0,0.0
900,Teste,1,2912.433648548542
901,Teste,1,1892.8742732884748
902,Controle,0,0.0
903,Teste,1,4162.077588681269
904,Teste,0,0.0
905,Teste,1,3581.2902764924565
906,Teste,0,0.0
907,Teste,0,0.0
908,Teste,1,1231.7762270520109
909,Controle,0,0.0
910,Teste,1,4599.172330222291
911,Teste,0,0.0
912,Teste,1,4201.41759315426
913,Controle,1,4774.099609813658
914,Teste,1,3765.7377877476197
915,Teste,0,0.0
916,Teste,1,3260.3683817110546
917,Controle,0,0.0
918,Controle,1,2382.093663307785
919,Teste,0,0.0
920,Teste,1,4697.27817509306
921,Teste,0,0.0
922,Teste,1,4397.287502751838
923,Teste,0,0.0
924,Teste,0,0.0
925,Teste,1,703.4840154778524
926,Teste,1,618.651385237634
927,Teste,1,2194.085150951223
928,Teste,1,4147.489988518248
929,Controle,1,4942.74258191725
930,Controle,0,0.0
931,Teste,1,1176.8760099658768
932,Controle,1,3173.588219084608
933,Teste,0,0.0
934,Teste,1,2214.008854839597
935,Teste,1,4864.614790165714
936,Teste,1,4289.535154110689
937,Teste,1,4272.479171200121
938,Teste,0,0.0
939,Teste,1,2609.1192190773663
940,Teste,0,0.0
941,Teste,1,2366.687760519493
942,Teste,0,0.0
943,Teste,0,0.0
944,Controle,1,1730.331823688178
945,Teste,1,753.689734929172
946,Teste,1,4391.25069314774
947,Teste,1,4158.054541085349
948,Teste,0,0.0
949,Teste,0,0.0
950,Teste,0,0.0
951,Teste,0,0.0
952,Teste,0,0.0
953,Teste,1,4998.729529787588
954,Teste,0,0.0
955,Teste,1,4984.865766832574
956,Teste,1,2999.4426752118234
957,Teste,1,3960.4433683122975
958,Teste,1,4751.445784470926
959,Teste,1,4323.413258048351
960,Teste,0,0.0
961,Teste,1,1613.0664578443896
962,Teste,0,0.0
